Round, GPU0, GPU1, Result
763, Paper, Rock, GPU 0 Wins
764, Scissors, Rock, GPU 1 Wins
765, Rock, Rock, Tie
766, Scissors, Rock, GPU 1 Wins
767, Rock, Rock, Tie
768, Paper, Rock, GPU 0 Wins
769, Rock, Rock, Tie
770, Scissors, Rock, GPU 1 Wins
771, Rock, Rock, Tie
772, Scissors, Rock, GPU 1 Wins
773, Paper, Rock, GPU 0 Wins
774, Paper, Rock, GPU 0 Wins
775, Rock, Rock, Tie
776, Scissors, Rock, GPU 1 Wins
777, Rock, Rock, Tie
778, Paper, Rock, GPU 0 Wins
779, Rock, Rock, Tie
780, Rock, Rock, Tie
781, Rock, Rock, Tie
782, Scissors, Rock, GPU 1 Wins
783, Rock, Rock, Tie
784, Scissors, Rock, GPU 1 Wins
785, Paper, Rock, GPU 0 Wins
786, Rock, Rock, Tie
787, Scissors, Rock, GPU 1 Wins
788, Paper, Rock, GPU 0 Wins
789, Rock, Rock, Tie
790, Paper, Rock, GPU 0 Wins
791, Rock, Rock, Tie
792, Rock, Rock, Tie
793, Paper, Rock, GPU 0 Wins
794, Rock, Rock, Tie
795, Rock, Rock, Tie
796, Paper, Rock, GPU 0 Wins
797, Paper, Rock, GPU 0 Wins
798, Scissors, Rock, GPU 1 Wins
799, Rock, Rock, Tie
800, Rock, Rock, Tie
801, Scissors, Rock, GPU 1 Wins
802, Paper, Rock, GPU 0 Wins
803, Scissors, Rock, GPU 1 Wins
804, Rock, Rock, Tie
805, Rock, Rock, Tie
806, Paper, Rock, GPU 0 Wins
807, Paper, Rock, GPU 0 Wins
808, Paper, Rock, GPU 0 Wins
809, Paper, Rock, GPU 0 Wins
810, Scissors, Rock, GPU 1 Wins
811, Scissors, Rock, GPU 1 Wins
812, Paper, Rock, GPU 0 Wins
813, Rock, Rock, Tie
814, Paper, Rock, GPU 0 Wins
815, Scissors, Rock, GPU 1 Wins
816, Paper, Rock, GPU 0 Wins
817, Paper, Rock, GPU 0 Wins
818, Paper, Rock, GPU 0 Wins
819, Rock, Rock, Tie
820, Rock, Rock, Tie
821, Rock, Rock, Tie
822, Paper, Rock, GPU 0 Wins
823, Paper, Rock, GPU 0 Wins
824, Paper, Rock, GPU 0 Wins
825, Paper, Rock, GPU 0 Wins
826, Scissors, Rock, GPU 1 Wins
827, Paper, Rock, GPU 0 Wins
828, Rock, Rock, Tie
829, Rock, Rock, Tie
830, Rock, Rock, Tie
831, Rock, Rock, Tie
832, Paper, Rock, GPU 0 Wins
833, Scissors, Scissors, Tie
834, Rock, Rock, Tie
835, Rock, Rock, Tie
836, Scissors, Rock, GPU 1 Wins
837, Rock, Rock, Tie
838, Rock, Rock, Tie
839, Rock, Rock, Tie
840, Scissors, Rock, GPU 1 Wins
841, Scissors, Rock, GPU 1 Wins
842, Scissors, Rock, GPU 1 Wins
843, Paper, Rock, GPU 0 Wins
844, Scissors, Rock, GPU 1 Wins
845, Scissors, Rock, GPU 1 Wins
846, Paper, Rock, GPU 0 Wins
847, Scissors, Rock, GPU 1 Wins
848, Paper, Rock, GPU 0 Wins
849, Rock, Rock, Tie
850, Rock, Rock, Tie
851, Scissors, Rock, GPU 1 Wins
852, Paper, Rock, GPU 0 Wins
853, Scissors, Rock, GPU 1 Wins
854, Scissors, Rock, GPU 1 Wins
855, Paper, Rock, GPU 0 Wins
856, Paper, Rock, GPU 0 Wins
857, Paper, Rock, GPU 0 Wins
858, Scissors, Rock, GPU 1 Wins
859, Paper, Rock, GPU 0 Wins
860, Scissors, Rock, GPU 1 Wins
861, Rock, Rock, Tie
862, Scissors, Rock, GPU 1 Wins
863, Scissors, Rock, GPU 1 Wins
864, Paper, Rock, GPU 0 Wins
865, Scissors, Rock, GPU 1 Wins
866, Rock, Rock, Tie
867, Rock, Rock, Tie
868, Paper, Rock, GPU 0 Wins
869, Paper, Rock, GPU 0 Wins
870, Rock, Rock, Tie
871, Scissors, Rock, GPU 1 Wins
872, Rock, Rock, Tie
873, Paper, Rock, GPU 0 Wins
874, Rock, Rock, Tie
875, Rock, Rock, Tie
876, Scissors, Rock, GPU 1 Wins
877, Scissors, Rock, GPU 1 Wins
878, Scissors, Rock, GPU 1 Wins
879, Scissors, Rock, GPU 1 Wins
880, Paper, Rock, GPU 0 Wins
881, Rock, Rock, Tie
882, Paper, Rock, GPU 0 Wins
883, Paper, Rock, GPU 0 Wins
884, Scissors, Rock, GPU 1 Wins
885, Paper, Rock, GPU 0 Wins
886, Rock, Rock, Tie
887, Paper, Rock, GPU 0 Wins
888, Paper, Rock, GPU 0 Wins
889, Paper, Rock, GPU 0 Wins
890, Rock, Rock, Tie
891, Scissors, Rock, GPU 1 Wins
892, Rock, Rock, Tie
893, Rock, Rock, Tie
894, Rock, Rock, Tie
895, Paper, Rock, GPU 0 Wins
896, Rock, Rock, Tie
897, Rock, Rock, Tie
898, Rock, Rock, Tie
899, Rock, Rock, Tie
900, Rock, Rock, Tie
901, Rock, Rock, Tie
902, Scissors, Rock, GPU 1 Wins
903, Rock, Rock, Tie
904, Rock, Rock, Tie
905, Scissors, Rock, GPU 1 Wins
906, Rock, Rock, Tie
907, Paper, Rock, GPU 0 Wins
908, Scissors, Rock, GPU 1 Wins
909, Paper, Rock, GPU 0 Wins
910, Paper, Rock, GPU 0 Wins
911, Rock, Rock, Tie
912, Scissors, Rock, GPU 1 Wins
913, Rock, Rock, Tie
914, Paper, Rock, GPU 0 Wins
915, Rock, Rock, Tie
916, Rock, Paper, GPU 1 Wins
917, Scissors, Paper, GPU 0 Wins
918, Scissors, Paper, GPU 0 Wins
919, Rock, Rock, Tie
920, Paper, Paper, Tie
921, Scissors, Paper, GPU 0 Wins
922, Paper, Rock, GPU 0 Wins
923, Scissors, Rock, GPU 1 Wins
924, Paper, Rock, GPU 0 Wins
925, Paper, Rock, GPU 0 Wins
926, Rock, Rock, Tie
927, Paper, Rock, GPU 0 Wins
928, Rock, Rock, Tie
929, Paper, Paper, Tie
930, Paper, Paper, Tie
931, Paper, Paper, Tie
932, Scissors, Scissors, Tie
933, Scissors, Scissors, Tie
934, Scissors, Rock, GPU 1 Wins
935, Rock, Rock, Tie
936, Paper, Rock, GPU 0 Wins
937, Scissors, Rock, GPU 1 Wins
938, Scissors, Rock, GPU 1 Wins
939, Scissors, Rock, GPU 1 Wins
940, Scissors, Rock, GPU 1 Wins
941, Scissors, Rock, GPU 1 Wins
942, Paper, Rock, GPU 0 Wins
943, Paper, Rock, GPU 0 Wins
944, Rock, Rock, Tie
945, Rock, Rock, Tie
946, Paper, Rock, GPU 0 Wins
947, Paper, Rock, GPU 0 Wins
948, Rock, Rock, Tie
949, Rock, Rock, Tie
950, Rock, Rock, Tie
951, Rock, Rock, Tie
952, Rock, Rock, Tie
953, Rock, Paper, GPU 1 Wins
954, Scissors, Paper, GPU 0 Wins
955, Scissors, Paper, GPU 0 Wins
956, Paper, Rock, GPU 0 Wins
957, Paper, Rock, GPU 0 Wins
958, Paper, Rock, GPU 0 Wins
959, Rock, Rock, Tie
960, Rock, Paper, GPU 1 Wins
961, Rock, Paper, GPU 1 Wins
962, Paper, Paper, Tie
963, Rock, Paper, GPU 1 Wins
964, Paper, Paper, Tie
965, Paper, Paper, Tie
966, Scissors, Paper, GPU 0 Wins
967, Rock, Paper, GPU 1 Wins
968, Rock, Paper, GPU 1 Wins
969, Paper, Paper, Tie
970, Scissors, Paper, GPU 0 Wins
971, Scissors, Paper, GPU 0 Wins
972, Rock, Paper, GPU 1 Wins
973, Scissors, Paper, GPU 0 Wins
974, Rock, Paper, GPU 1 Wins
975, Paper, Paper, Tie
976, Scissors, Paper, GPU 0 Wins
977, Scissors, Paper, GPU 0 Wins
978, Scissors, Paper, GPU 0 Wins
979, Rock, Paper, GPU 1 Wins
980, Paper, Paper, Tie
981, Paper, Paper, Tie
982, Rock, Paper, GPU 1 Wins
983, Rock, Paper, GPU 1 Wins
984, Scissors, Paper, GPU 0 Wins
985, Paper, Paper, Tie
986, Paper, Paper, Tie
987, Scissors, Paper, GPU 0 Wins
988, Rock, Paper, GPU 1 Wins
989, Rock, Paper, GPU 1 Wins
990, Rock, Paper, GPU 1 Wins
991, Scissors, Paper, GPU 0 Wins
992, Rock, Paper, GPU 1 Wins
993, Paper, Paper, Tie
994, Rock, Paper, GPU 1 Wins
995, Scissors, Paper, GPU 0 Wins
996, Scissors, Paper, GPU 0 Wins
997, Rock, Paper, GPU 1 Wins
998, Scissors, Paper, GPU 0 Wins
999, Paper, Paper, Tie
1000, Paper, Paper, Tie

Summary:
GPU 0 Wins: 333
GPU 1 Wins: 320
Ties: 347
